Date,Pros,Cons,Advice to Management,Rating,Employement_status,Designation,Location,Work_Life_Bal,Culture_Values,Career_Opportunity,Compensation_Benefits,Senior Management
15-Apr-20,Job is well secured when you compare with other IT industries and the best part of the organization is the relation that you will be able to build with your co-employees.,"Salary hikes may be on a bit lower side if you continue to work in the same organization, because with same experience if you are shifting to another company, you may get a higher package",,4,Former Employee,IT Analyst,Chennai,5,5,4,4,4
16-Apr-20,"Good Culture 
Lot of learning opportunities","CR process
Need a lot of approvals",,4,Former Employee,Systems Engineer,,4,4,4,3,4
16-Apr-20,"Good place to learn for a person starting a career in IT
Employee friendly
Exciting perks 
My manger and team was very understanding ,supported me both at offshore and onsite for successful delivery of projects",TCS has got a policy now not to recruit old employees.,,4,Former Employee,IT Analyst,Chennai,4,5,4,5,4
29-Apr-20,"Good work culture, work life balance.","No appreciation for the work, no salary increment. Very less as compared to company standards, not much opportunities available for your career growth.",,3,Current Employee,Associate Systems Analyst,"Gāndhīnagar, Gujarat",5,5,2,2,3
29-Apr-20,Lots of to learn as a fresher.,For long time only if you are looking for onsite.,,3,Current Employee,IT Analyst,,3,4,4,1,4
30-Apr-20,This is the best company when you have made a decision to settle in your life.,Salary offered is not much,,3,Current Employee,Assistant Systems Engineer,,3,4,3,3,3
14-Apr-20,"Very Process oriented
Many benefits other than salary",Difficult shifts depending on your account,,5,Former Employee,Senior Software Engineer,Mumbai,5,5,4,4,5
15-Apr-20,"Work culture, No pressure, employee friendly, work life balance","Hike, and nothing else I feel",,5,Current Employee,ITAnalyst,Chennai,5,5,4,4,5
15-Apr-20,"Good place to work
Flexible time",None as of now. All are good,,5,Current Employee,IT Analyst,Chennai,5,5,5,5,5
15-Apr-20,Perfect work life balance,Average pay as compared to other organisations,,5,Former Employee,Anonymous Employee,,5,5,5,5,5
19-May-20,Health Insurance and nothing else,"Politics and only Politics, no work, below average population",No use,1,Current Employee,ITA,Calcutta,4,1,1,1,1
19-May-20,"Nice project if you are lucky enough
Flexibility with location
If you are not lucky can spend most of your time in canteen or you can use this time to study something and jump from TCS","No work ethics
Managers are managers because they have been in the company for some 20 years and since they had close contact with higher managements.",,1,Former Employee,Associate Engineer,Bangalore,1,1,1,1,1
14-Apr-20,We have more learn opportunities in TCS,Our client have 400+ branches in globe. We handle all types of people in all region and work together to resolve they Network issues.,,4,Current Employee,Senior Network Engineer,Chennai,4,4,3,4,4
14-Apr-20,"Varieties of projects on cutting edge technologies
Supportive team and opportunities of learning
Onsite opportunities
Good work life balance
Good employee perks & facilities","Less increment percentage 
Politics in higher management",,4,Former Employee,Associate Software Engineer,Chennai,5,4,4,3,3
15-Apr-20,Work Life Balance; Job Security Health Insurance,No Major . Notice period is 3 Months which may stop you to explore new opportunities.,,4,Current Employee,IT Analyst,Hyderābād,4,4,4,4,4
15-Apr-20,work life balance can be easily maintained,projects are not alloted according to the skills,,4,Current Employee,Systems Administrator,Bangalore,5,4,5,3,3
15-Apr-20,"Lot of projects which presents several opportunity to learn new skills
Well organized internal processes during business travels
Various channels for learning
Friendly colleagues which leads to better experience
Lot of travel opportunities with customer site exposure","Bad managers, supervisors, leadership
You need to fight to get recognition
Appraisals are quite biased, not in favor of long term employees",,4,Former Employee,SAP Functional Consultant,Bangalore,4,5,4,3,1
15-Apr-20,"Stable
Multiple projects
Adequate facilities for employees","In project selection freshers don't have much of a choice, career direction will be in their hands.
Appraisal and salary growth are very slow.",,4,Current Employee,Assistant Systems Engineer,Bangalore,5,5,4,5,4
28-Apr-20,Nothing to tell much about company,Nothing to tell about company much,,3,Former Employee,Systems Administrator,,,,,,
28-Apr-20,"Good learning , Very challenging work culture","Hectic Life , 
Work life balance is less",,3,Current Employee,Software Developer,Bangalore,2,5,5,3,3
28-Apr-20,"Work Life Balance.
Relax environment.
Great place to work and the offices are awesome.
 GYM",Less Salary and high politics,Many talented people leaving because of low pay. Please pay the talented people more.,3,Current Employee,Systems Engineer,Hyderābād,5,5,4,2,3
29-Apr-20,"Onsite oppurtunity
Great learning oppurtunity
Option to work with multiple skills","Very Bad politics
Favourism at peak",,3,Current Employee,IT Solutions Architect,Calcutta,4,3,3,3,2
29-Apr-20,Work life Balance Good leave policy Stability,Growth is stagnant Hikes are muted,,3,Current Employee,ITAnalyst,New Delhi,4,4,2,2,3
29-Apr-20,Very Comfortable Work Life Balance,Management is poor and salary is pathetic,,3,Current Employee,Assistant Systems Engineer,Pune,,,,,
13-Apr-20,Certainty and stability are the core things in the company.,"as I see most of the good things
As a company it is good",,5,Former Employee,Senior Software Engineer,Hyderābād,5,5,5,5,4
13-Apr-20,"good company, very much employee oriented",notice period 3 month.,,5,Current Employee,IT Analyst,Mumbai,5,5,5,5,5
13-Apr-20,"Safe company, lots of opportunities, ample freedom to chose your work","Lot of dead wood within the company, increments are standard irrespective of the amount of work or effort",Get rid of the deadwood,5,Current Employee,IT Analyst,Pune,4,5,5,4,4
13-Apr-20,"Work life balance , Good work ethics",Location change is difficult for emplyees,,4,Former Employee,Assistant Consultant,"Gurgaon, Haryana",5,5,4,4,4
13-Apr-20,1. best for beginners,everything depends on the project.,,4,Former Employee,Assistant Systems Administrator,Mumbai,3,3,5,3,3
14-Apr-20,"Flexible time, job security","slow technical growth, low package for beginners",,4,Current Employee,Anonymous Employee,,,,,,
27-Apr-20,Welfare of employees is taken care,No growth is seen in employees,,3,Former Employee,Work Flow Specialist,Bangalore,4,4,3,3,2
27-Apr-20,Job Security & Work/Life Balance is there.,Compensation is less than the other companies.,,3,Current Employee,Ase-Trainee,Hyderābād,4,5,4,2,3
28-Apr-20,"Balance work Culture 
several on-site opportunities","Monotonous work
No additional perks",,3,Current Employee,Systems Engineer,Ahmedabad,3,3,3,2,3
12-Apr-20,"Very good atmosphere of working, good learning growth",Less Salary at the beginning,,5,Current Employee,Data Analyst,Hyderābād,4,4,4,4,4
12-Apr-20,"Employee friendly, good compensation, cabs available",None at the moment now,,5,Current Employee,Systems Engineer,,4,4,4,5,4
12-Apr-20,Good exposure to projects across streams,"Less pay hike , as it is service based, limited technical skills",,5,Former Employee,Engineer,Hyderābād,4,5,5,3,5
12-Apr-20,Work-life balance satisfaction at every stage of life.,Office politics can make you stick to single city.,,5,Current Employee,Systems Engineer,Ahmedabad,5,5,5,5,2
12-Apr-20,Good Brand with social motive,No cons for this company,,5,Current Employee,Accounts & Finance,"Gurgaon, Haryana",5,5,5,5,5
12-Apr-20,Better work culture in tcs,Salay hike is not as per the expectation,,5,Current Employee,IT Analyst,Pune,5,3,5,5,2
13-Apr-20,"Amazing, Great place to work and grow",There are no cons as far as i am concerned,,5,Current Employee,Systems Engineer,Noida,,,,,
13-Apr-20,"Work culture, timing, ethics, learning, projects","Work distribution, perks, benefits, management",,5,Current Employee,Java Developer,,4,4,4,4,4
27-Apr-20,"Will get salary on time, job safety","No development project
Minm salary
Minm hike
Useless managet",Dont take all the benifits only for your self,2,Former Employee,Systems Engineer,Chennai,3,2,3,3,1
27-Apr-20,"Flexibility, learning opportunities, work life balance","Freshers are left with no choice to choose the domain they want to pursue, random assignment of projects to freshers and experienced,not based on their capabilities. They expect us to try hard to be in good books of team leads and managers for career progression, no matter how hard you work.",,2,Former Employee,Systems Engineer,Bangalore,5,5,2,2,1
12-Apr-20,Work flexibility and time will be available for personal development.,Less salary and no proper career opportunity.,,4,Current Employee,Software Developer,"Gurgaon, Haryana",4,4,4,2,3
12-Apr-20,"I work in innovations lab, I like enviornment, colleagues, work life balance",slow growth for employees like me,,4,Current Employee,Systems Engineer,Mumbai,5,5,4,3,5
13-Apr-20,"1. Get to learn new technologies. 
2. Good work environment.
3. Free transportation","1. No free meals
2. Monotonous routine.",,4,Current Employee,Assistant Systems Engineer,Calcutta,3,4,4,4,4
26-Apr-20,"Calm environment, platform to start career and learn about management","Calm environment, which will you slow, so keep going dont stop learning",Nothing,3,Current Employee,Systems Analyst,Hyderābād,3,3,3,3,3
27-Apr-20,"TCS is a huge company to work in and is company like TCS is in your resume it will be a USP for you, the reputation of TCS is in the market is very good and again you have job safety. you will find professional staff to work among and for a fresher this is the best company to work.",If I will talk about cons it is better if I skip now this stupid website will get me out of TCS if i give my honest revue.,,3,Current Employee,Senior Process Associate,Hyderābād,,,,,
11-Apr-20,"Good place to work , growth oriented place. If you are talented as well lucky will get onsite",Nothing.i recommend this company,,5,Former Employee,Test Analyst,Chennai,5,5,4,4,4
11-Apr-20,Job security is good in tcs,Low salary in tcs company,,5,Current Employee,Marketing,Visakhapatnam,,,,,
11-Apr-20,"Good work environment, high brand value, & low attrition rate.",May be sometime work pressure is high. Other wise everything is okay,,5,Former Employee,Assistant Systems Engineer,Calcutta,4,4,4,4,4
11-Apr-20,You will learn a lot. It depends on your project as well.,I dont think there are any cons working with TCS.,No,5,Former Employee,Anonymous Employee,Pune,,,,,
12-Apr-20,"Good foreign tour ,good campus","less salary, few projects are very bad",,5,Current Employee,Team Leader,,,,,,
08-Apr-20,"Job security, health benefits are good.",Bps industry sucks when compared with IT segment of tcs,,5,Current Employee,Anonymous Employee,,4,4,5,4,4
11-Apr-20,"job Sercurity
Nice place to work","Low growth rate
Less salary 
A lot depends on your project, most of the time we dont get project with skills we need",,4,Current Employee,Systems Engineer,Bangalore,5,4,3,4,3
11-Apr-20,Good benefit for employees nd staff,Too load for work daily,,4,Current Employee,Software Engineer,Indore,,,,,
12-Apr-20,Good work life balance and company policies are good.,No cons experienced since the work culture is good.,,4,Current Employee,Systems Engineer,Bangalore,,,,,
25-Apr-20,"Work Life balance, work ethics","Low salary, poor infrastructure, no perks",,3,Current Employee,Software Developer,Mumbai,4,4,2,2,2
25-Apr-20,"Job Security, Time to pursue personal growth, Good team","Low increment, Less inclusion in decisions",,3,Former Employee,Systems Engineer,Calcutta,4,5,3,2,3
26-Apr-20,worklife balance is there in company,slow growth will take time to earn some good money,,3,Former Employee,Assistant Systems Engineer,,,,,,
26-Apr-20,"Job security, work life balance, time for preparation of other skills","Small pay, poor projects assigning methods",Focus on selecting candidates for respective quality projects,3,Current Employee,Systems Engineer,Calcutta,5,4,2,2,2
26-Apr-20,#NAME?,#NAME?,,3,Former Employee,Business Analyst,Mumbai,5,5,2,3,3
10-Apr-20,if you are lucky enough to get good project..which is very unlikely..you will learn a lot...great work culture.,1. you get to meet a lot of unambitious people.. which might demotivate you. 2. salary is really very less.,,5,Current Employee,Python Developer,Bangalore,5,5,2,1,5
10-Apr-20,Onsites are good in TCS,Hikes are little less in TCS,,5,Former Employee,Anonymous Employee,Hyderābād,5,5,5,5,4
11-Apr-20,"Flexible, Onsite opportunities. Good Projects",Salary is not upto the standard,,5,Former Employee,ITAnalyst,,,,,,
11-Apr-20,Great culture and employee friendly,Low pay compared to market standards,,5,Former Employee,Anonymous Employee,,,,,,
11-Apr-20,"Flexible, Onsite opportunities. Good Projects",Salary is not upto the standard,,5,Former Employee,ITAnalyst,,,,,,
11-Apr-20,Great culture and employee friendly,Low pay compared to market standards,,5,Former Employee,Anonymous Employee,,,,,,
17-May-20,"Health insurance,Leave banlance name if tata",If you are in TCS BANCS project forgot about everything they will treat you like slaves.No policy all manager are just destroying TCS ethics.Worst ISU of IT industry.,Just have a look into TCS bancs,1,Current Employee,Senior Engineer,Calcutta,4,5,4,3,1
11-Apr-20,"Job secuirity 
Good working environment",Lack of appreciation n worth,,4,Current Employee,Team Lead,New Delhi,,,,,
24-Apr-20,Strong employ supporting policies in workplace.,low to avg pay for freshers,,3,Former Employee,Graduate Student,Vellore,3,5,3,3,2
24-Apr-20,Ocean of opportunities in learning new technologies. We're always up to date with market,Networking and software infrastructure is worse than you could ever imagine.,Please invest some money and time in building a good infrastructure for people to work. It is a shame to use personal laptops to fulfil work targets.,3,Current Employee,Azure Devops Engineer,Thiruvananthapuram,3,2,5,2,4
24-Apr-20,not that much of a hectic work,domain change is less possible,,3,Current Employee,ASE,Bangalore,4,3,3,1,1
24-Apr-20,"Good Learning
Good to start your career
Tata Policies","Low salary compared to industry standard
Initial project is very important",,3,Current Employee,Systems Engineer,Calcutta,5,5,3,2,3
24-Apr-20,1) Work life balance 2) On-site opportunities 3) Leaves can be availed easily,"1) Managers favour bootlickers only, inefficient management 2) HR is completely a puppet of managers, irrespective of policies and feel themselves as God/goddess 3) Show-off is more compared to the work done 4) Salary hikes/ Promotions are very low",,3,Former Employee,Systems Engineer,Hyderābād,5,2,4,1,1
25-Apr-20,The work pressure is less.,The project allocation is not based on skillset.,,3,Former Employee,Systems Engineer,,,,,,
10-Apr-20,Very good and I loved it,Cannot find one for this company,Increase salary,5,Former Employee,Management Trainee,Calcutta,5,5,5,5,5
10-Apr-20,very good working environment to work.name attach TATA speaks,i found no cons on my behalf,,5,Current Employee,Senior Software Developer,Calcutta,4,4,4,4,3
09-Apr-20,"employee friendly, get to learn a lot based on project",sometimes may have to wait for a project you are interested in,,4,Current Employee,Software Engineer,Bangalore,4,4,4,4,4
09-Apr-20,Best medical benefits and good working culture,10hr works and no others benefits,,4,Current Employee,Team Lead,"Nāgpur, Maharashtra",3,3,3,3,3
10-Apr-20,Good Brand Value to work for,No Growth Oppertunity in BPO segment,,4,Former Employee,Senior Analyst,Pune,,,,,
10-Apr-20,"Flexible Timings,Good No. of projects,Good managers that too in some accounts only,Job Security","Slave Culture,Security behaves very rude, if you forgot id card then again you need to go home and back to office, some managers are nasty",,4,Former Employee,IT Analyst,Bangalore,4,4,4,4,4
23-Apr-20,"Good environment, good people around, nice buildings, great cafeteria","New Managers are egoistic
Nothing new to learn
Lots of politics in appraisal
Talented people feel ignored","Managers need to know how to manage people
Specially non technical managers are too annoying.",3,Current Employee,Assistant Consultant At TCS,Pune,4,4,3,3,2
23-Apr-20,"1. Work life balance
2. Job Security
3. Good HR policy, best in industry
4. Very good health insurance policy for employees and their dependants
5. Friendly environment","1. Compensation not satisfactory
2. Less learning opportunity",,3,Former Employee,IT Analyst,Calcutta,5,5,3,3,4
23-Apr-20,Get to learn a lot if you start as a fresher,Salary hike is a big concern,,3,Former Employee,Software Developer,Chennai,3,4,4,1,3
24-Apr-20,its a good company,salary is less and also hike is not good,,3,Current Employee,Protocol Testing,Bangalore,4,3,4,2,4
23-Apr-20,"1. Work life balance
2. Job Security
3. Good HR policy, best in industry
4. Very good health insurance policy for employees and their dependants
5. Friendly environment","1. Compensation not satisfactory
2. Less learning opportunity",,3,Former Employee,IT Analyst,Calcutta,5,5,3,3,4
23-Apr-20,Get to learn a lot if you start as a fresher,Salary hike is a big concern,,3,Former Employee,Software Developer,Chennai,3,4,4,1,3
24-Apr-20,its a good company,salary is less and also hike is not good,,3,Current Employee,Protocol Testing,Bangalore,4,3,4,2,4
08-Apr-20,Good and prestigious organization to work with.,Nothing specific about the company,,5,Current Employee,Manager,Chennai,3,5,5,3,3
09-Apr-20,a good environment for work,less pay accoring to other companies,,5,Current Employee,Software Engineer,Bangalore,,,,,
09-Apr-20,Good Work culture and Onsite opportunities,There is no cons in my company,,5,Current Employee,Java Developer,Coimbatore,,,,,
23-Apr-20,new technologies may be in project,"no hike, accounts managers always do more politics",,2,Current Employee,Software Development Engineer,Pune,2,2,2,2,2
13-May-20,"Home location will be given.
Good job security.","Very very low salary.
Bad projects.",,1,Current Employee,Information Technology Analyst,Calcutta,4,3,1,1,1
14-May-20,"Job Security,
Free access to learning platforms such as Linkedin learning, udemy.
good number o paid leaves","Very low salary, no career growth, office politics, no onsite before 5-7 year, incompetent people.","Each year more than 40,000 employees(~11% o workforce) quit TCS. But TCS is proud that its attrition rate is lowest in the industry. Management's sole purpose is to increase profits. Business is about people and profits. If you ignore any one of these, you are bound to fail. Aim for quality, not quantity.",1,Current Employee,Assistant Systems Engineer,Noida,4,1,1,1,1
14-May-20,#NAME?,#NAME?,,1,Current Employee,Systems Analyst,Chennai,1,1,3,1,1
08-Apr-20,"Little to no work load
Good Learning platforms
Work Life balance","Forces people to stick to same project
Not proper appraisal
Some projects are hell",RMG please stop treating us animals,4,Current Employee,Systems Engineer,Noida,5,5,4,2,3
08-Apr-20,"Flexibility, work life balance, good project options","Salary, getting a good project is tough but they're there",,4,Current Employee,Data Engineer,,,,,,
09-Apr-20,"1. Very comfortable work environment and culture
2. All kind of support is heard for
3. Infrastructure is developing
4. Great focus on Cyber Security and Data Privacy
5. Awesome Learning Platforms and Opportunities","1. Freshers are not respected enough by Project Managers.
2. Less importance towards brainstorming.
3. Current Infrastructure is not so good, but it is developing at good speed now.",,4,Current Employee,"Tableau Developer, Data Analyst",Pune,4,5,4,5,3
23-Apr-20,good company is the tcs,not bad comments on this company,,3,Current Employee,Software Engineer,Bangalore,3,3,3,2,3
23-Apr-20,Decent salary and food ethics,Slow workplace and growth opportunities,,3,Former Employee,Delivery Manager,Bangalore,2,4,4,3,2
07-Apr-20,Amazing organisation to work with. Lots of learnings and a very good experience.,Overall pay structure across organization.,,5,Current Employee,Program Director,Bangalore,5,5,5,3,5
07-Apr-20,Employee oriented company. Provides good opportunity to explore new technologies. More onsite opportunities.,Salary is less. Senior Management is not skilled enough.,,5,Current Employee,IT Analyst,Mumbai,5,5,5,5,3
07-Apr-20,Job safety work environment work timings and,To many competitions for promotions and salary and,,5,Current Employee,Systems Engineer,Chennai,4,4,4,4,4
08-Apr-20,"good environment for working, good opportunities",less hike in yoy basis,,5,Former Employee,Systems Engineer,,5,5,5,2,5
08-Apr-20,Good company in every aspect,Nothing to say about this company,,5,Current Employee,Senior Software Engineer,Hyderābād,5,5,5,5,5
07-Apr-20,Job safety work environment work timings and,To many competitions for promotions and salary and,,5,Current Employee,Systems Engineer,Chennai,4,4,4,4,4
08-Apr-20,"good environment for working, good opportunities",less hike in yoy basis,,5,Former Employee,Systems Engineer,,5,5,5,2,5
08-Apr-20,Good company in every aspect,Nothing to say about this company,,5,Current Employee,Senior Software Engineer,Hyderābād,5,5,5,5,5
07-Apr-20,"Job Security
Flexible Working hours 
Good Infrastructure","Mostly Support Projects
Old Technologies 
Low increment and low salary for bscit graduates",,4,Former Employee,Assistant Systems Engineer,Mumbai,4,5,3,3,3
07-Apr-20,TCS wants fire and job secure,less hike and salary not good,,4,Current Employee,Oracle PlSql Developer,Bangalore,3,3,4,4,4
07-Apr-20,"Work life balance, Lot of learning opportunity","Low pay, No promotion and less compensation",,4,Current Employee,Project Manager,,4,5,4,4,4
08-Apr-20,Secured job and good onsite opportunities,Pressure is high and hike is less,,4,Current Employee,Anonymous Employee,,,,,,
08-Apr-20,"Job Security
Flexible work environment
Awesome place to start your career","Low salary
poor Work culture
No Job rotation
Oudated Technology",,4,Former Employee,Systems Engineer,"Gurgaon, Haryana",5,5,4,2,3
08-Apr-20,"It is a good platform to learn technology especially for Freshers.
Good Management
Good for on-site opportunities
Good Job Security","Less hikes
Not at HR driven company",Please hire good talent and improve the recruitment procedure,4,Former Employee,Network Administrator,Hyderābād,4,3,4,3,3
08-Apr-20,"Employment safety
Brand value
Lots of option to chose","Hierarchical Structure acts as deterrent
One should be lucky enough to get the chances.",,4,Former Employee,Developer,Chennai,2,4,4,5,2
21-Apr-20,There is job stability. Great work life balance.,"1. Less opportunities to grow
2. Not so good compensation",,3,Current Employee,Systems Analyst,"Gāndhīnagar, Gujarat",5,5,3,3,5
21-Apr-20,Less work load but it's project dependent,Low salary and lesser onsite,,3,Former Employee,ASE Trainee,Bangalore,4,5,3,2,2
22-Apr-20,"Can settle outside India, Very less work pressure","India Salary, lack of Motivation",,3,Current Employee,IT Analyst,Mumbai,4,4,4,2,3
06-Apr-20,I am good and having 3 years experience in Teamcenter administrations and development. Able to speak French little bit but definitely I will learn French in short time,I have to learn many integrations to Teamcenter,,5,Current Employee,Teamcenter Developer,Chennai,,,,,
07-Apr-20,Good company very supportive motivate us do a lot.,nothing as cons because my experience was so good,,5,Former Employee,Customer Support,Chennai,5,5,5,5,5
07-Apr-20,"employee friendly, rewards, good colleagues and projects","no wfh, salary a bit down",,5,Current Employee,Anonymous Employee,,,,,,
07-Apr-20,Good for working and nice atmosphere,Not so much . ifeel it was a great place,,5,Current Employee,Assistant Systems Engineer,Hyderābād,,,,,
06-Apr-20,employee friendly and great place to work at,pay hikes are not that great,,4,Former Employee,IT Analyst,Bangalore,3,3,4,3,3
06-Apr-20,"Diversity of projects, Skilled peer group and multi-cultural workplace",Compensation might not be as high as other similar companies,Keep doing the good work and look ways to harness the skilled potentials,4,Former Employee,Systems Engineer,Chennai,5,5,5,3,4
06-Apr-20,Awesome company to work with.,You should work in big cities to get good projects.,,4,Former Employee,Assistant Systems Engineer,"Gāndhīnagar, Gujarat",3,4,4,4,2
07-Apr-20,work-life balance. good environment. employee benefits.,Few project management is not that good. salary hike,,4,Current Employee,Systems Engineer,Bangalore,4,4,4,3,3
20-Apr-20,Work life balance is worth mentioning,Hierarchy is just like any other company,,3,Former Employee,Systems Engineer,Chennai,2,3,3,3,3
20-Apr-20,Flexible working hours and low pressure,"Pays less, low increments and at times incompetent managers",,3,Current Employee,Anonymous Employee,,4,4,3,3,3
05-Apr-20,"Maintain work-life balance
Good technical opportunities
very creative learning courses available",salary increment is very less,,5,Current Employee,Software Engineer,"Gurgaon, Haryana",5,5,5,5,5
06-Apr-20,"Global Leader in IT Services , Digital & Business Solutions.
Secured Workspace
Onsite Opportunities
Job Security
Training & Learning
Strong Platform to Grow in Specific Technology","Limited Annual Hike in Salary 
Promotion Cycle and Process needs improvement","Management should interact with Operations Teams in every 3 months and discuss over the performance, achievements, challenges, improvisation etc",5,Current Employee,IT Systems Administrator,Pune,5,5,5,4,4
06-Apr-20,Endless opportunities to the freshers.. You have access to world class teachings including Digital Transformation and Artificial Intelligence.,Hike rate is very less and the process to validate the hike is very worst.,When any associate is leaving the firm. Please ask at least what he is looking for.,5,Former Employee,IT Analyst,Chennai,4,5,5,3,3
06-Apr-20,Good working environment in TCS,No cons for fresher in TCS,,5,Current Employee,Anonymous Employee,,3,5,5,4,4
06-Apr-20,Well medical facility and environment,Less salary and some partiality,,5,Current Employee,Associate,Bangalore,,,,,
20-Apr-20,"1. Good for someone who wants to work on support and maintenance project
2. Really complex projects which are built over a decade and a half. Good from a learning perspective.
3. You get paid every month","1. Outdated technology stack
2. Most of the projects are maintenance projects, hardly any development
3. Narcissist approach towards other's individual aspirations
4. Zero professionalism
5. Zero tolerance for innovations and creativity
6. Red Taping at its best
7. Hierarchy is the key. Zero communication.
8. Work life balance; Lol what does it mean?
9. Pathetic infrastructure both in terms of amenities and workstations
10. Zero appreciation culture
11. Canteen is shabby and stinky
12. Pathetic parking space management",🙏,2,,,,1,1,3,2,1
21-Apr-20,"Health insurance, eco friendly approaches","No challenging work, no agility",,2,Current Employee,ITAnalyst,Calcutta,3,3,2,2,4
05-Apr-20,Good company to work if salary is not the priority,less increment in salary yearly,,4,Current Employee,Anonymous Employee,,,,,,
05-Apr-20,"A place to learn a lot many technologies
If youre lucky, your team and manager would be highly supportive
Theres not too much pressure in the initial year","Compensation is less 
Stagnant work 
sometimes people tend to not upgrade their skills",,4,Former Employee,"Assistant Systems Engineer, TCS","Nāgpur, Maharashtra",3,3,4,2,4
05-Apr-20,"good environment is there, one can manage all work",no such cons i faced.,,4,Current Employee,Assistant Software Engineer,Hyderābād,4,4,4,4,4
05-Apr-20,good company if you join after 5 years,very less learning opportunities in tcs,,4,Current Employee,Systems Eng,"Gurgaon, Haryana",5,4,3,1,3
06-Apr-20,Decent Growth opportunists compared similar ones.,"Not much, depends on LOB.",,4,Current Employee,Project Manager,,4,4,4,4,
06-Apr-20,Good Work Environment in Company,Politics is very bad in company,,4,Current Employee,Solutions Architect,Noida,3,5,4,3,3
19-Apr-20,Brand Popularity and Employee Benefits,Large Organization and Less Hike,,3,Former Employee,Anonymous Employee,,,,,,
20-Apr-20,Timing is flexible and facilities are good,micromanagement . managers are very nagging.,,3,Current Employee,Systems Engineer,Bangalore,3,3,3,3,3
20-Apr-20,Good security of job and environment,Financial improvement is less and no much improvement,Employee and his life also important should think on employee side also,3,Current Employee,Assistant Consultant,Hyderābād,4,4,3,3,3
05-Apr-20,Very good company and provide stability.,No any i found out,,5,Former Employee,Software Engineer,,5,5,4,3,4
